epoch,accuracy,loss,val_accuracy,val_loss
0,0.855907142162323,0.40260910987854004,0.9004213809967041,0.3508731722831726
1,0.859381914138794,0.39927998185157776,0.9004213809967041,0.35292670130729675
2,0.8565725088119507,0.4010668396949768,0.9030827283859253,0.3458743095397949
3,0.853319525718689,0.4025866687297821,0.8970947265625,0.3479653596878052
4,0.8553156852722168,0.39854148030281067,0.9016411900520325,0.34291142225265503
5,0.8578293919563293,0.39618006348609924,0.9013084769248962,0.3396473526954651
6,0.8582729697227478,0.39112409949302673,0.899423360824585,0.3419552147388458
7,0.8565725088119507,0.3975297212600708,0.9008649587631226,0.34016135334968567
8,0.8573118448257446,0.39611923694610596,0.901086688041687,0.33503496646881104
9,0.8569421768188477,0.39607781171798706,0.9000887274742126,0.33802762627601624
