epoch,accuracy,loss,val_accuracy,val_loss
0,0.7921541929244995,-17.093807220458984,0.792422354221344,-32.040958404541016
1,0.7923734784126282,-46.44211196899414,0.792422354221344,-60.793678283691406
2,0.7923734784126282,-75.26703643798828,0.792422354221344,-89.6334457397461
3,0.7923734784126282,-103.9665756225586,0.792422354221344,-118.41915130615234
4,0.7923734784126282,-132.80438232421875,0.792422354221344,-147.25070190429688
5,0.7923734784126282,-161.40475463867188,0.792422354221344,-176.03810119628906
6,0.7923734784126282,-190.2476348876953,0.792422354221344,-204.8151092529297
7,0.7923734784126282,-219.22328186035156,0.792422354221344,-233.5911865234375
8,0.7923734784126282,-247.80174255371094,0.792422354221344,-262.3529968261719
9,0.7923734784126282,-276.58001708984375,0.792422354221344,-291.1794738769531
